Month,Open,High,Low,Close
Feb-03,3260.04,3341.61,3218.37,3283.66
Mar-03,3301.67,3311.57,3039.83,3048.72
Apr-03,3037.54,3221.9,2904.44,2959.79
May-03,2949.04,3200.48,2934.78,3180.75
Jun-03,3176.56,3632.84,3170.38,3607.13
Jul-03,3617.74,3835.75,3534.06,3792.61
Aug-03,3800.73,4277.64,3722.08,4244.73
Sep-03,4248.07,4473.57,4097.55,4453.24
Oct-03,4452.07,4951.11,4432.93,4906.87
Nov-03,4946.93,5135,4736.7,5044.82
Dec-03,5086.86,5920.76,5082.82,5838.96
Jan-04,5872.48,6249.6,5567.68,5695.67
Feb-04,5715.46,6082.8,5550.17,5667.51
Mar-04,5649.3,5951.03,5324.78,5590.6
Apr-04,5599.12,5979.25,5599.12,5655.09
May-04,5645.86,5772.64,4227.5,4759.62
Jun-04,4792.01,5012.52,4613.94,4795.46
Jul-04,4813.76,5200.85,4723.04,5170.32
Aug-04,5193.25,5269.22,5022.29,5192.08
Sep-04,5202.16,5638.79,5178.57,5583.61
Oct-04,5587.46,5803.82,5558.14,5672.27
Nov-04,5678.65,6248.43,5649.03,6234.29
Dec-04,6259.28,6617.15,6176.09,6602.69
Jan-05,6626.49,6696.31,6069.33,6555.94
Feb-05,6565.21,6721.08,6508.33,6713.86
Mar-05,6725.92,6954.86,6321.31,6492.82
Apr-05,6506.6,6649.42,6118.42,6154.44
May-05,6183.07,6772.74,6140.97,6715.11
Jun-05,6729.39,7228.21,6647.36,7193.85
Jul-05,7165.45,7708.59,7123.11,7635.42
Aug-05,7632.01,7921.39,7537.5,7805.43
Sep-05,7818.9,8722.17,7818.9,8634.48
Oct-05,8662.99,8821.84,7656.15,7892.32
Nov-05,7989.86,9033.99,7891.23,8788.81
Dec-05,8813.82,9442.98,8769.56,9397.93
Jan-06,9422.49,9945.19,9158.44,9919.89
Feb-06,9959.24,10422.65,9713.51,10370.24
Mar-06,10368.75,11356.95,10344.26,11279.96
Apr-06,11342.96,12102,11008.43,12042.56
May-06,12103.78,12671.11,9826.91,10398.61
Jun-06,10472.46,10626.84,8799.01,10609.25
Jul-06,10616.97,10940.45,9875.35,10743.88
Aug-06,10737.5,11794.43,10645.99,11699.05
Sep-06,11699.57,12485.17,11444.18,12454.42
Oct-06,12473.79,13075.85,12178.83,12961.9
Nov-06,12992.62,13799.08,12937.3,13696.31
Dec-06,13729.67,14035.3,12801.65,13786.91
Jan-07,13827.77,14325.92,13303.22,14090.92
Feb-07,14124.36,14723.88,12800.91,12938.09
Mar-07,13013.74,13386.95,12316.1,13072.1
Apr-07,12811.93,14383.72,12425.52,13872.37
May-07,13987.77,14576.37,13554.34,14544.46
Jun-07,14610.28,14683.36,13946.99,14650.51
Jul-07,14685.16,15868.85,14638.88,15550.99
Aug-07,15344.02,15542.4,13779.88,15318.6
Sep-07,15401.99,17361.47,15323.05,17291.1
Oct-07,17356.99,20238.16,17144.58,19837.99
Nov-07,20130.23,20204.21,18182.83,19363.19
Dec-07,19547.09,20498.11,18886.4,20286.99
Jan-08,20325.27,21206.77,15332.42,17648.71
Feb-08,17820.67,18895.34,16457.74,17578.72
Mar-08,17227.56,17227.56,14677.24,15644.44
Apr-08,15771.72,17480.74,15297.96,17287.31
May-08,17560.15,17735.7,16196.02,16415.57
Jun-08,16591.46,16632.72,13405.54,13461.6
Jul-08,13480.02,15130.09,12514.02,14355.75
Aug-08,14064.26,15579.78,14002.43,14564.53
Sep-08,14412.99,15107.01,12153.55,12860.43
Oct-08,13006.72,13203.86,7697.39,9788.06
Nov-08,10209.37,10945.41,8316.39,9092.72
Dec-08,9162.94,10188.54,8467.43,9647.31
Jan-09,9720.55,10469.72,8631.6,9424.24
Feb-09,9363.58,9724.87,8619.22,8891.61
Mar-09,8762.88,10127.09,8047.17,9708.5
Apr-09,9745.77,11492.1,9546.29,11403.25
May-09,11635.24,14930.54,11621.3,14625.25
Jun-09,14746.51,15600.3,14016.95,14493.84
Jul-09,14506.43,15732.81,13219.99,15670.31
Aug-09,15694.78,16002.46,14684.45,15666.64
Sep-09,15691.27,17142.52,15356.72,17126.84
Oct-09,17186.2,17493.17,15805.2,15896.28
Nov-09,15838.63,17290.48,15330.56,16926.22
Dec-09,16947.46,17530.94,16577.78,17464.81
Jan-10,17473.45,17790.33,15982.08,16357.96
Feb-10,16339.32,16669.25,15651.99,16429.55
Mar-10,16438.45,17793.01,16438.45,17527.77
Apr-10,17555.04,18047.86,17276.8,17558.71
May-10,17536.86,17536.86,15960.15,16944.63
Jun-10,16942.82,17919.62,16318.39,17700.9
Jul-10,17679.34,18237.56,17395.58,17868.29
Aug-10,17911.31,18475.27,17819.99,17971.12
Sep-10,18027.12,20267.98,18027.12,20069.12
Oct-10,20094.1,20854.55,19768.96,20032.34
Nov-10,20272.49,21108.64,18954.82,19521.25
Dec-10,19529.99,20552.03,19074.57,20509.09
Jan-11,20621.61,20664.8,18038.48,18327.76
Feb-11,18425.18,18690.97,17295.62,17823.4
Mar-11,17982.28,19575.16,17792.17,19445.22
Apr-11,19463.11,19811.14,18976.19,19135.96
May-11,19224.05,19253.87,17786.13,18503.28
Jun-11,18527.12,18873.39,17314.38,18845.87
Jul-11,18974.96,19131.7,18131.86,18197.2
Aug-11,18352.23,18440.07,15765.53,16676.75
Sep-11,16963.67,17211.8,15801.01,16453.76
Oct-11,16255.97,17908.13,15745.43,17705.01
Nov-11,17540.55,17702.26,15478.69,16123.46
Dec-11,16555.93,17003.71,15135.86,15454.92
Jan-12,15534.67,17258.97,15358.02,17193.55
Feb-12,17179.64,18523.78,17061.55,17752.68
Mar-12,17714.62,18040.69,16920.61,17404.2
Apr-12,17429.96,17664.1,17010.16,17318.81
May-12,17370.93,17432.33,15809.71,16218.53
Jun-12,16217.48,17448.48,15748.98,17429.98
Jul-12,17438.68,17631.19,16598.48,17236.18
Aug-12,17244.44,17972.54,17026.97,17429.56
Sep-12,17465.6,18869.94,17250.8,18762.74
Oct-12,18784.64,19137.29,18393.42,18505.38
Nov-12,18487.9,19372.7,18255.69,19339.9
Dec-12,19342.83,19612.18,19149.03,19426.71
Jan-13,19513.45,20203.66,19508.93,19894.98
Feb-13,19907.21,19966.69,18793.97,18861.54
Mar-13,18876.68,19754.66,18568.43,18835.77
Apr-13,18890.81,19622.68,18144.22,19504.18
May-13,19459.33,20443.62,19451.26,19760.3
Jun-13,19859.22,19860.19,18467.16,19395.81
Jul-13,19352.48,20351.06,19126.82,19345.7
Aug-13,19443.29,19569.2,17448.71,18619.72
Sep-13,18691.83,20739.69,18166.17,19379.77
Oct-13,19452.05,21205.44,19264.72,21164.52
Nov-13,21158.81,21321.53,20137.67,20791.93
Dec-13,20771.27,21483.74,20568.7,21170.68
Jan-14,21222.19,21409.66,20343.78,20513.85
Feb-14,20479.03,21140.51,19963.12,21120.12
Mar-14,21079.27,22467.21,20920.98,22386.27
Apr-14,22455.23,22939.31,22197.51,22417.8
May-14,22493.59,25375.63,22277.04,24217.34
Jun-14,24368.96,25725.12,24270.2,25413.78
Jul-14,25469.94,26300.17,24892,25894.97
Aug-14,25753.92,26674.38,25232.82,26638.11
Sep-14,26733.18,27354.99,26220.49,26630.51
Oct-14,26681.47,27894.32,25910.77,27865.83
Nov-14,27943.04,28822.37,27739.56,28693.99
Dec-14,28748.22,28809.64,26469.42,27499.42
Jan-15,27485.77,29844.16,26776.12,29182.95
Feb-15,29143.63,29560.32,28044.49,29361.5
Mar-15,29533.42,30024.74,27248.45,27957.49
Apr-15,27954.86,29094.61,26897.54,27011.31
May-15,27204.63,28071.16,26423.99,27828.44
Jun-15,27770.79,27968.75,26307.07,27780.83
Jul-15,27823.65,28578.33,27416.39,28114.56
Aug-15,28089.09,28417.59,25298.42,26283.09
Sep-15,26127.04,26471.82,24833.54,26154.83
Oct-15,26344.19,27618.14,26168.71,26656.83
Nov-15,26641.69,26824.3,25451.42,26145.67
Dec-15,26201.27,26256.42,24867.73,26117.54
Jan-16,26101.5,26197.27,23839.76,24870.69
Feb-16,24982.22,25002.32,22494.61,23002
Mar-16,23153.32,25479.62,23133.18,25341.86
Apr-16,25301.7,26100.54,24523.2,25606.62
May-16,25565.44,26837.2,25057.93,26667.96
Jun-16,26684.46,27105.41,25911.33,26999.72
Jul-16,27064.33,28240.2,27034.14,28051.86
Aug-16,28083.08,28532.25,27627.97,28452.17
Sep-16,28459.09,29077.28,27716.78,27865.96
Oct-16,27997.29,28477.65,27488.3,27930.21
Nov-16,27966.18,28029.8,25717.93,26652.81
Dec-16,26756.66,26803.76,25753.74,26626.46
Jan-17,26711.15,27980.39,26447.06,27655.96
Feb-17,27669.08,29065.31,27590.1,28743.32
Mar-17,28849.04,29824.62,28716.21,29620.5
Apr-17,29737.73,30184.22,29241.48,29918.4
May-17,30021.49,31255.28,29804.12,31145.8
Jun-17,31117.09,31522.87,30680.66,30921.61
Jul-17,31156.04,32672.66,31017.11,32514.94
Aug-17,32579.8,32686.48,31128.02,31730.49
Sep-17,31769.34,32524.11,31081.83,31283.72
Oct-17,31537.81,33340.17,31440.48,33213.13
Nov-17,33344.23,33865.95,32683.59,33149.35
Dec-17,33247.66,34137.97,32565.16,34056.83
Jan-18,34059.99,36443.98,33703.37,35965.02
Feb-18,36048.99,36256.83,33482.81,34184.04
Mar-18,34141.22,34278.63,32483.84,32968.68
Apr-18,33030.87,35213.3,32972.56,35160.36
May-18,35328.91,35993.53,34302.89,35322.38
Jun-18,35373.98,35877.41,34784.68,35423.48
Jul-18,35545.22,37644.59,35106.57,37606.58
Aug-18,37643.87,38989.65,37128.99,38645.07
Sep-18,38915.91,38934.35,35985.63,36227.14
Oct-18,36274.25,36616.64,33291.58,34442.05
Nov-18,34650.63,36389.22,34303.38,36194.3
Dec-18,36396.69,36554.99,34426.29,36068.33
Jan-19,36161.8,36701.03,35375.51,36256.69
Feb-19,36311.74,37172.18,35287.16,35867.44
Mar-19,36018.49,38396.06,35926.94,38363.47
